Name,Version,Build,Channel
jasper,2.0.14,habb8e15_1,conda-forge
jinja2,2.11.2,pyh9f0ad1d_0,conda-forge
jpeg,9d,h516909a_0,conda-forge
keras,2.0.9,pypi_0,pypi
keras-applications,1.0.8,pypi_0,pypi
keras-preprocessing,1.1.2,pypi_0,pypi
libffi,3.2.1,he1b5a44_1007,conda-forge
libgcc-ng,9.2.0,h24d8f2e_2,conda-forge
libgfortran,3.0.0,1,conda-forge
libglu,9.0.0,he1b5a44_1001,conda-forge
libgomp,9.2.0,h24d8f2e_2,conda-forge
libgpuarray,0.7.6,h14c3975_1003,conda-forge
libiconv,1.15,h516909a_1006,conda-forge
libpng,1.6.37,hed695b0_1,conda-forge
libprotobuf,3.5.2,hd28b015_1,conda-forge
libstdcxx-ng,9.2.0,hdf63c60_2,conda-forge
libtiff,4.0.10,hc3755c2_1005,conda-forge
libuuid,2.32.1,h14c3975_1000,conda-forge
libxcb,1.13,h14c3975_1002,conda-forge
libxml2,2.9.9,h13577e0_2,conda-forge
lz4-c,1.9.2,he1b5a44_1,conda-forge
mako,1.1.0,py_0,conda-forge
markdown,3.2.2,pypi_0,pypi
markupsafe,1,py35h470a237_1,conda-forge
mkl,2018.0.3,1,
mkl-service,1.1.2,py35h651fb7a_4,
moviepy,1.0.3,pypi_0,pypi
ncurses,5.9,10,conda-forge
nettle,3.4.1,h1bed415_1002,conda-forge
numpy,1.18.5,pypi_0,pypi
oauthlib,3.1.0,pypi_0,pypi
olefile,0.46,py_0,conda-forge
openblas,0.2.20,8,conda-forge
opencv,3.3.1,py35h61133dd_2,
openssl,1.0.2u,h516909a_0,conda-forge
opt-einsum,3.3.0,pypi_0,pypi
pandas,0.22.0,py35_1,conda-forge
pcre,8.44,he1b5a44_0,conda-forge
pillow,4.2.1,py35h03abc04_0,
pip,20.1.1,py_1,conda-forge
pixman,0.34.0,h14c3975_1003,conda-forge
proglog,0.1.9,pypi_0,pypi
protobuf,3.12.2,pypi_0,pypi
pthread-stubs,0.4,h14c3975_1001,conda-forge
pyasn1,0.4.8,pypi_0,pypi
pyasn1-modules,0.2.8,pypi_0,pypi
pycparser,2.2,pyh9f0ad1d_2,conda-forge
pygpu,0.7.6,py35h7eb728f_0,conda-forge
pyopenssl,18.0.0,py35_0,conda-forge
python,3.5.2,5,conda-forge
python-dateutil,2.8.1,py_0,conda-forge
python-engineio,3.11.2,py_0,conda-forge
python-socketio,4.5.1,pyh9f0ad1d_0,conda-forge
pytz,2020.1,pyh9f0ad1d_0,conda-forge
pyyaml,3.12,py35_1,conda-forge
readline,6.2,0,conda-forge
requests,2.24.0,pypi_0,pypi
requests-oauthlib,1.3.0,pypi_0,pypi
rsa,4.6,pypi_0,pypi
scikit-learn,0.19.2,py35_blas_openblasha84fab4_201,[blas_openblas]
scipy,1.4.1,pypi_0,pypi
setuptools,49.2.0,pypi_0,pypi
six,1.15.0,pyh9f0ad1d_0,conda-forge
sqlite,3.13.0,1,conda-forge
tensorboard,2.2.2,pypi_0,pypi
tensorboard-plugin-wit,1.7.0,pypi_0,pypi
tensorflow,2.2.0,pypi_0,pypi
tensorflow-estimator,2.2.0,pypi_0,pypi
termcolor,1.1.0,pypi_0,pypi
theano,1.0.3,py35_0,conda-forge
tk,8.5.19,2,conda-forge
tqdm,4.48.0,pypi_0,pypi
urllib3,1.25.9,pypi_0,pypi
werkzeug,1.0.1,pyh9f0ad1d_0,conda-forge
wheel,0.34.2,py_1,conda-forge
wrapt,1.12.1,pypi_0,pypi
x264,1!152.20180806,h14c3975_0,conda-forge
xorg-fixesproto,5,h14c3975_1002,conda-forge
xorg-inputproto,2.3.2,h14c3975_1002,conda-forge
xorg-kbproto,1.0.7,h14c3975_1002,conda-forge
xorg-libice,1.0.10,h516909a_0,conda-forge
xorg-libsm,1.2.3,h84519dc_1000,conda-forge
xorg-libx11,1.6.9,h516909a_0,conda-forge
xorg-libxau,1.0.9,h14c3975_0,conda-forge
xorg-libxdmcp,1.1.3,h516909a_0,conda-forge
xorg-libxext,1.3.4,h516909a_0,conda-forge
xorg-libxfixes,5.0.3,h516909a_1004,conda-forge
xorg-libxi,1.7.10,h516909a_0,conda-forge
xorg-libxrender,0.9.10,h516909a_1002,conda-forge
xorg-renderproto,0.11.1,h14c3975_1002,conda-forge
xorg-xextproto,7.3.0,h14c3975_1002,conda-forge
xorg-xproto,7.0.31,h14c3975_1007,conda-forge
xz,5.2.5,h516909a_1,conda-forge
yaml,0.2.5,h516909a_0,conda-forge
zipp,1.2.0,pypi_0,pypi
zlib,1.2.11,h516909a_1006,conda-forge
zstd,1.4.5,h6597ccf_1,conda-forg
